Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% Other Holdings","% Sovereign Debt Holding","% Largecap Holding","% Midcap Holding","% Poorly Rated Bonds","% Corporate Debt Holding","% B Rated Bonds","% Concentration - Top 10 Holdings"
Aditya Birla SL Corp Bond Fund,"Corporate Bond Fund","Growth","25167.8769","7.61","0.7","0","22.132018612980424","0","0","0","72.89241151684111","0","33.32620321263571"
Canara Rob Large and Mid Cap Fund,"Large & Mid Cap Fund","Growth","24674.945099999997","0","7.65","0","0","42.90187215046734","39.32613207718952","0","0","0","35.14028649247127"
HDFC Arbitrage-WP,"Arbitrage Fund","Growth","24438.906899999998","6.91","0.07","0","0","55.34558708106538","9.453640498135377","0","0.348375237682992","0","41.15048492614866"
HDFC Arbitrage Fund,"Arbitrage Fund","Growth","24438.906899999998","6.91","0.07","0","0","55.34558708106538","9.453640498135377","0","0.348375237682992","0","41.15048492614866"
HDFC Nifty 50 Index Fund,"Index Fund","Growth","23339.5619","0","10.04","0","0","99.45663204586542","0.672220415585436","0","0","0","53.75281144415999"
SBI Midcap Fund,"Mid Cap Fund","Growth","23247.3731","0","5.23","0","0","13.83576495358953","57.49401638845811","0","0","0","33.28657765638046"
SBI Multicap Fund,"Multi Cap Fund","Growth","23118.938199999997","0","5.84","0","0.439078988497837","38.95485130887194","19.00539229781755","0","0","0","37.9520647708639"
Aditya Birla SL Flexi Cap Fund,"Flexi Cap Fund","Growth","23018.34","0","3.67","0","0","55.34110310592513","29.487962852909604","0","0","0","30.189155656244125"
DSP Liquidity Fund,"Liquid Fund","Growth","22480.432099999998","6.31","0","0","0","0","0","0","0.566927714881423","0","21.936182445532246"
SBI Flexicap Fund,"Flexi Cap Fund","Growth","22402.6797","0","7.93","0","0","66.54865533787013","13.53366088611266","0","0","0","37.21670805301026"
HDFC Hybrid Equity Fund,"Aggressive Hybrid Fund","Growth","22297.0989","7.64","9.2","0","6.471009105135202","48.49376525840317","6.1699959540476375","0","17.999834050159773","0","37.50984662852261"
UTI Flexi Cap Fund,"Flexi Cap Fund","Growth","22167.580299999998","0","11.95","0","0.227669413246695","60.1497909088436","23.99998659303378","0","0","0","44.634603624284594"
Kotak Multicap Fund,"Multi Cap Fund","Growth","22095.325699999998","0","4.48","0","0","41.316508569854975","25.33553972456732","0","0","0","32.32647158512356"
HDFC Low Duration Fund,"Low Duration Fund","Growth","21926.366800000003","7.41","0.15","0","13.143968749077025","0","0","0","78.59925065195941","0","29.27253912399205"
SBI Corp Bond Fund,"Corporate Bond Fund","Growth","21910.5252","7.67","0.43","0","8.76357906747028","0","0","0","68.01656767223456","0","28.715579122676623"
ICICI Pru Short Term Fund,"Short Duration Fund","Growth","21449.576588868098","7.8","0.4","0","17.501241035910336","0","0","0","63.3532510243229","0","24.891311853544362"
ICICI Pru Flexicap Fund,"Flexi Cap Fund","Growth","20936.0667981872","0","7.47","0","0","61.19525278315097","9.07720546709638","0","0","0","45.653052180878596"
Tata Arbitrage Fund,"Arbitrage Fund","Growth","20686.3980218775","6.95","0.07","0","0","46.772531768311595","15.08449545879988","0","9.772095673388213","0","38.12441881581329"
Axis Money Market Fund,"Money Market Fund","Growth","20120.586201","7.02","0.06","0","2.453835957324147","0","0","0","0","0","30.389775870446563"
HDFC Multi Cap Fund,"Multi Cap Fund","Growth","19557.5716","0","8.68","0","0","42.48138915160614","28.024006313749087","0","0","0","24.830889536408506"
DSP Midcap Fund,"Mid Cap Fund","Growth","19458.9686","0","1.53","0","0","19.202125132161417","62.09155453388213","0","0","0","28.31965821662306"
Nippon India Money Market Fund,"Money Market Fund","Growth","19419.682099999998","7.14","0.07","0","2.6288555781877596","0","0","0","0","0","25.184898097792153"
Invesco India Contra Fund,"Contra Fund","Growth","19405.5947","0","8.91","0","0","56.18213184675035","24.411217863887472","0","0","0","35.396932720644735"
Aditya Birla SL Savings Fund,"Ultra Short Duration Fund","Growth","19347.8329","7.37","0.06","0","4.580056670309277","0","0","0","50.968575492955566","0","32.04205128708573"
UTI Money Market Fund,"Money Market Fund","Growth","19328.064","7.11","0.07","0","1.709342953334587","0","0","0","0","0","25.110150711421493"
