Name,"Sub Category","Plan","AUM","Average YTM","% Away from ATH","% A Rated Bonds","% Equity Holding","% Smallcap Holding","% Debt Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
Quant Large Cap Fund,"Large Cap Fund","Growth","3112.325","0","6.57","0","92.90246037929845","6.20672969564554","5.8455238447141555","39.27091804358483","56.61511570931704","1.252015775987502"
UTI Low Duration Fund,"Low Duration Fund","Growth","3108.335","7.31","0.12","84.3954689568531","0","0","0","21.62344792308425","29.9926069744735","8.94811530932157"
Aditya Birla SL Medium Term Plan,"Medium Duration Fund","Growth","3097.7547999999997","8.41","0.44","71.64446327385242","0","0","0","15.36788192532217","22.48865210377529","2.432006561655553"
Quant Infrastructure Fund,"Sectoral Fund - Infrastructure","Growth","3072.9257000000002","0","9.04","0","98.52962927154404","32.256080906869954","5.015484103634526","29.353189372590414","44.738331942096735","-4.1975567453518"
ICICI Pru Bharat Consumption Fund,"Sectoral Fund - Consumption","Growth","3064.8798716902","0","13.6","0","96.38424420109205","24.671081140384434","0","21.0398719361351","30.96915832712749","3.615755798907925"
Kotak Business Cycle Fund,"Thematic Fund","Growth","3064.2785","0","4.55","0","97.05815251453156","26.419690638432492","0","16.27395812750049","23.33192952272452","2.941847485468443"
Nippon India Retirement Fund-Wealth Creation,"Solution Oriented, Retirement Fund - Equity Oriented","Growth","3055.8208","0","8.15","0","0","7.884915870965454","0","19.25126297205187","27.038002274855018","3.3316878144825797"
Tata Banking & Financial Services Fund,"Sectoral Fund - Banks & Financial Services","Growth","3043.1782723971996","0","8.9","0","98.00773181948885","14.941336303700211","0","34.00295044775288","47.556185358144845","1.9922681805111968"
Nippon India Nifty Smallcap 250 Index Fund,"Index Fund","Growth","3031.6202000000003","0","10.93","0","100.05587755746541","90.01248229541474","0","4.06544328375364","6.52934690481866","-0.0558775574653938"
JioBlackRock Flexi Cap Fund,"Flexi Cap Fund","Growth","3030.8168437229997","0","6.87","0","99.64299063942408","19.613487871467346","0","17.90465378051053","25.42919645940304","0.3570093605757504"
SBI Retirement Benefit Fund-Aggressive Plan,"Solution Oriented, Retirement Fund - Equity Oriented","Growth","3013.3531","5.67","9.17","0.1916171058745157","0","17.049515372094962","0","18.11290220186941","26.39515760698605","3.657424017119005"
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund,"Index Funds - Debt Oriented","Growth","2989.3083","6.66","0.04","59.16036551635904","0","0","0","16.54762423362507","23.30744896990748","2.9710174967669722"
ICICI Pru Equity Minimum Variance Fund,"Thematic Fund","Growth","2984.562971887","0","6.96","0","91.62386673553948","0","0","24.435909272803702","34.9106756940443","8.37613326446058"
Motilal Oswal Nifty 500 Index Fund,"Index Fund","Growth","2970.7431","0","6.73","0","100.03088452852076","10.379026042339367","0","15.74061722132756","21.160584366921537","-0.030884528520827015"
LIC MF Large & Midcap Fund,"Large & Mid Cap Fund","Growth","2958.4924","0","7.53","0","93.58431679594646","4.515590440590618","0","15.362473129895488","21.754194805435368","6.415683204053527"
Edelweiss Gold and Silver ETF FoF,"FoFs - Gold","Growth","2945.8628999999996","0","19.17","0","0","0","0","100.18756813156513","100.00000000000001","0.014634082258206754"
Axis Gold Fund,"FoFs - Gold","Growth","2941.9494","0","11.77","0","0","0","0","100.00000000000024","100.00000000000024","-0.012550861683752995"
Mirae Asset Healthcare Fund,"Sectoral Fund - Pharma & Health Care","Growth","2939.2311","0","0","0","99.9550120437961","16.382798208687987","0","27.11525813672834","39.43807616896814","0.03686338239956702"
ITI Small Cap Fund,"Small Cap Fund","Growth","2936.5071000000003","0","2.41","0","97.44395646106223","60.147203458149335","0","9.95212986203915","14.266391523453152","2.24564415321863"
SBI Consumption Opp Fund,"Sectoral Fund - Consumption","Growth","2932.5099","0","19.21","0","98.35208399466957","24.63004813726291","0.0992767321944932","14.92324032733871","23.457878181417232","1.54863927313596"
ICICI Pru Bharat 22 FOF,"FoFs (Domestic) - Equity Oriented","Growth","2923.66058297","0","6.01","0","0","0","0","100.00000000000004","100.00000000000004","0.09829058088134196"
JioBlackRock Money Market Fund,"Money Market Fund","Growth","2923.212867196","6.97","0.1","83.2104159192902","0","0","0","28.33268351047072","40.41169267064507","0.693268152429802"
Old Bridge Focused Fund,"Focused Fund","Growth","2905.6984","0","1.97","0","85.34811114601567","30.145971102850865","0","27.06344884245383","36.1259585647292","14.651888853984282"
Kotak Debt Hybrid Fund,"Conservative Hybrid Fund","Growth","2902.1334","7.12","2.11","30.13624390939437","21.941083066684666","1.421857451487239","55.69842861117274","29.4605685596672","36.16110823851173","21.1218684847499"
DSP Corp Bond Fund,"Corporate Bond Fund","Growth","2894.5908","7.19","0.11","86.89559850739519","0","0","0","17.963641009292232","27.101426564335103","0.38631367169412023"
ICICI Pru Income plus Arbitrage Omni FOF,"FoFs (Domestic) - Hybrid","Growth","2890.0186229532997","0","0.23","0","0","0","0","83.56622549062949","97.70175562054936","2.2982443794507"
Sundaram Large Cap Fund,"Large Cap Fund","Growth","2889.3237664641997","0","9.66","0","96.00017571610849","6.01950841008815","0","21.12317339475929","32.77788415508663","3.999824283891543"
UTI Balanced Advantage Fund,"Dynamic Asset Allocation Fund","Growth","2877.6501000000003","6.85","6.52","20.617854312445377","65.92264428863034","2.4453079123762147","26.13347494374647","18.24868543163071","26.96862783424227","4.36392701148986"
Baroda BNP Paribas Multi Cap Fund,"Multi Cap Fund","Growth","2860.9176","0","4.89","0","95.48685815812412","24.736856853359075","1.06556431832986","9.61107626214891","15.282706544925041","3.4222278030267037"
Tata Multicap Fund,"Multi Cap Fund","Growth","2853.9455948340997","0","3.52","0","96.55537083500217","24.079626419007724","0","10.123495428309791","15.41758986117831","3.4446291649978362"
Edelweiss Multi Cap Fund,"Multi Cap Fund","Growth","2846.758","0","3.31","0","98.03122112467176","23.731840034536887","0","10.10235546591224","15.154981505884951","1.9687788753282045"
HSBC Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","2844.3259000000003","0","2.33","8.138118068678416","75.18438024278439","10.286338847457666","11.376530375791317","15.140388800031669","22.70779519323014","0.3521291283815"
JM Liquid Fund,"Liquid Fund","Growth","2835.050253765","6.23","0","87.63923805937425","0","0","0","12.26787424801781","19.28697381197549","1.480267571104533"
Sundaram Multi Cap Fund,"Multi Cap Fund","Growth","2806.7063460574504","0","8.02","0","95.00439946012541","24.907077522170507","0","13.84029330067888","20.44319282495622","4.995600539874606"
Franklin India Balanced Advantage Fund,"Dynamic Asset Allocation Fund","Growth","2788.55494864","7.6","4.05","19.826209272606818","67.48894617916172","8.716022819723813","27.39387530066628","15.38736762240487","24.10936689351909","5.117178520172032"
ICICI Pru NASDAQ 100 Index Fund,"Index Fund","Growth","2773.1963012779997","0","0","0","99.44878186511517","0","0","20.8883046907715","29.84445790663682","0.08410758013748798"
Franklin India Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","2764.5771861420003","7.08","4.57","13.962349422830453","64.10671122130023","9.59891480875329","15.306528206706565","21.14024654944037","27.319267467911722","3.27271708934494"
DSP Multicap Fund,"Multi Cap Fund","Growth","2730.9008000000003","0","7.26","0","93.77342816699894","36.59749559559249","0","15.031783651753301","22.091252820314832","6.22657183300104"
Canara Rob Focused Fund,"Focused Fund","Growth","2725.4082","0","8.74","0.0558962140056671","94.26082302093316","4.647234128084009","0","20.57206696596862","29.9678191325615","5.683280765061157"
Parag Parikh Dynamic Asset Allocation Fund,"Dynamic Asset Allocation Fund","Growth","2709.3059000000003","7.37","0.84","8.771338814122092","28.105283349510294","3.061547978026404","54.87946193155966","14.121373300814799","20.95350694803418","2.8938814181152397"
ICICI Pru Bond Fund,"Medium to Long Duration Fund","Growth","2700.1880733228","7.56","0.67","35.46632582602013","0","0","0","28.6990009198281","36.94867812567842","7.11621813388507"
UTI Short Duration Fund,"Short Duration Fund","Growth","2696.9234","7.6","0.36","80.27490880905256","0","0","0","16.5173842164001","23.943197645138937","5.45481195350231"
Mahindra Manulife Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","2688.1293","0","5.98","0","96.0945851823422","9.807411421764563","0","9.65565160872284","15.40232086306265","3.9054148176577668"
Tata Large Cap Fund,"Large Cap Fund","Growth","2687.5774197392","0","7.33","0","96.54763360274828","5.026493339608023","0","20.81962721856391","30.279246805063888","2.30835098120524"
UTI MNC Fund,"Thematic Fund - MNC","Growth","2662.1304","0","9.96","0","93.6027551467802","29.702977735425737","0.379162493317382","20.45225883750845","30.53132934434764","5.99704657593028"
Motilal Oswal Gold and Silver Passive FoF,"FoFs - Gold","Growth","2652.4195","0","19.6","0","0","0","0","100.1781015408762","100.00000000000003","-0.17810154087617"
Bandhan Nifty 50 Index Fund,"Index Fund","Growth","2652.0794","0","10.01","0","100.05691956223488","0","0","27.73406356879638","37.28353993128346","-0.05691956223492753"
