Name,Ticker,"Sub-Sector","Market Cap","5Y Avg EBITDA Margin","Return on Equity","5Y Avg Net Profit Margin","EBITDA Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","Cost of Goods Sold","Cash Flow Margin","ROCE"
Jackson Investments Ltd,JACKSON,"Investment Banking & Brokerage","12.7911542","-87.33599525049448","-3.139094353238319","-89.46944280427326","-147.4576271186441","-3.1891495601173023","-1.5795226194266139","-3.0916844349680175","-1.5587451034710327","-147.4576271186441","-1.6857010138816988","-45.99829314645062",,"-5.084745762711865","-3.190319031903191"
Norris Medicines Ltd,NORRIS,"Pharmaceuticals","12.7608932","-1.7957003295186138",,"-27.511485859831918","-3.401360544217689",,,"-8.85714285714286","-14.731803024629855","-21.088435374149665",,"4.873550962845999","4","8.673469387755102","-20.163487738419615"
Suncare Traders Ltd,SCTL,"Commodities Trading","12.75","-33.5055720145958","1.4999999999999991","-43.855782946878335","39.682539682539684","2.043034123016735","-10.88970718895656","1.2881064834692995","-8.394932086610511","26.58730158730159","-10.029810264996254","-23.316797486541887",,"-61.308411214953274","2.16076058772688"
Surya India Ltd,SURYAINDIA,"Real Estate","12.7491434","48.46440735021811","10.303330036267722","23.00502465038832","86.12137203166228","10.506943282583237","3.3963787481981855","9.712887058549283","3.1884737389835323","65.96306068601584","3.5417808341521857","5.354284954378071","0","-12.559366754617415","12.309038828771483"
R J Shah and Company Ltd,RJSHAH,"Construction & Engineering","12.74455","59.18143481725572","15.109709630797527","39.777432129445046","64.57142857142857","13.990498812351543","6.32085195532876","13.328697264719516","5.682263074122745","46.93877551020408","6.199734557587631","-66.33032735195543","0.01","-14.69387755102041","19.182774651333496"
Infronics Systems Ltd,INFRONICS,"IT Services & Consulting","12.737822827","36.09512723873837","40.50179211469538","23.56299405072956","71.42857142857143","36.20178041543029",,"28.643852978453733","20.761327159971472","47.47899159663865",,"19.98145167370826","0","50","49.700598802395206"
Uniinfo Telecom Services Ltd,UNIINFO,"Telecom Services","12.7248128","-0.33163850222879443","-2.057799969738224","-3.276001221427582","1.7076093469143314","-0.5549682875264169","-3.8239936518844586","-1.7261073740322281","-3.0700849402926838","-2.037147992810054","-2.330857582110524","1.44707687918369","0.04","-7.7591372079089265","-1.0404280618311421"
Mirae Asset BSE Sensex ETF,SENSEXETF,"Equity","12.721782557",,,,,,,,,,,,,,
Unipro Technologies Ltd,UPROTECH,"Software Services","12.7052712",,,,"-31.000000000000007",,,"-8.854166666666668",,"-31.000000000000007",,"0",,"-1300","-33.33333333333335"
Emmessar Biotech and Nutrition Ltd,EMMESSA,"Pharmaceuticals","12.6950901","37.47946118031219","4.1005291005290925","19.87604177404537","28.630705394190876","4.020752269779499","11.974548209737364","3.4559643255295365","9.271630578056639","18.672199170124486","10.953577435608224","30.46607127944917",,"8.396946564885498","6.750572082379866"
Parmax Pharma Ltd,PARMAX,"Pharmaceuticals","12.6792657","1.9421297216594031",,"-11.302969747209527","-2.7974504249291883",,,"-12.386263574992679","-8.791718271407872","-7.471671388101994",,"2.8913172947446375","23.439999999999998","-3.39943342776204","-31.873905429071847"
UTI Nifty 5 yr Benchmark G-Sec ETF,GILT5BETA,"Debt","12.658165299",,,,,,,,,,,,,,
Raj Packaging Industries Ltd,RAJPACK,"Packaging","12.61251","3.930037086238605","-5.317919075144504","0.12297379017263932","0.3279763857002313","-1.3045944412932466","2.0977606785565293","-3.687867450561194","0.457781451941692","-2.2630370613315822","3.3050787260395467","3.1509202853660905","24.8","-5.247622171203673","-3.094140882159312"
Sumeru Industries Ltd,SUMERUIND,"Business Support Services","12.6","28.591207162825857","0.8658008658008657","9.68955449789451","30.3030303030303","0.9532888465204954","0.23126219563476455","0.8563273073263556","0.22922728966992878","21.212121212121215","0.24874105825394738","-11.446260995995253",,"4.651162790697675","0.47483380816714155"
Sungold Media and Entertainment Ltd,SMEL,"Advertising","12.584","7.37154296046198","0.2588438308886965","2.329569565137169","5.6179775280898925","0.25862068965517176","0.19346693725294978","0.2582866982350403","0.19283307801445523","2.24719101123596","0.2633292517456774","-131.41956128163025",,"133.33333333333334","0.2586206896551728"
Diggi Multitrade Ltd,DML,"Real Estate","12.58075","-286.9305884353297","-1.1695906432748535","-317.08243849484023","-5.445544554455443","-1.0958904109589036","-0.7315724389503012","-1.0586678429642695","-0.7061405952398486","-5.940594059405938","-0.7250688154045072","-17.70944888412223","2","-36.13861386138614","-1.0958904109589036"
Ushakiran Finance Ltd,USHAKIRA,"Diversified Financials","12.56983","46.09122211943674","1.4200511218403868","41.61408721815752","60.00000000000001","1.5142337976983653","1.983141779235615","1.3781697905181922","1.9664928751037052","45.45454545454546","1.7343298898667012","43.463875573496296",,"34.54545454545454","1.7835909631391205"
VCU Data Management Ltd,VCU,"Electronic Equipments","12.555","26.060425893651477","0.2672456990145311","18.04320658639052","8.633093525179849","0.2669336002669332","1.937168010634784","0.2633744855967074","1.6916240997115437","5.755395683453229","1.8556426280433111","-84.0573555642924","0","-67.62589928057554","0.36387694343367477"
GCM Securities Ltd,GCMSECU,"Investment Banking & Brokerage","12.53736","-484.9873349252859","-17.647058823529406","-517.9804188211046","-582.5","-12.355391022674686","-2.588772109126842","-10.50767414403778","-1.8636474331382158","-667.5","-2.0505468767358135","441.65697304175893",,"-67.5","-13.257762444553967"
Cian Healthcare Ltd,CHCL,"Pharmaceuticals","12.522877764","0.17390452434497233","-57.265711135611916","-17.2980025711342","-59.89028718941594","-26.25071551230682","-12.368999264312542","-16.372462488967347","-3.5980744846967747","-83.80122620200065","-1.2323371442952467","22.363823099965554","14.72","66.9570829299774","-55.19480519480522"
Usha Martin Education And Solutions Ltd,UMESLTD,"Education Services","12.521094414","36.1085283988827","2.147558018704537","13.170811381785267","46.93877551020408","2.808621815806662","0.8685745739523743","1.9159456118665015","0.7270795176493363","31.632653061224485","1.7270743884133786","46.52272967465986","0","117.3469387755102","3.1528444139821796"
Svaraj Trading and Agencies Ltd,ZSVARAJT,"Commodities Trading","12.508","-45.8124933319108","-1.2236105127100387","-94.70511042355703","-376.9230769230769","-1.2270998963014172","0.1963331442385309","-1.2206653485773231","0.19664263067079532","-546.1538461538462","0.1936422052187071","-355.8425264056331","0","-615.3846153846155","-1.173627890921643"
Golden Legand Leasing and Finance Ltd,GOLDLEG,"Specialized Finance","12.47593","-437.12685743949135","-17.471080973274823","-490.2046590097983","-1.3918629550321093","-11.686232657417285","-4.760426757266865","-6.469719350073854","-1.9152065880539664","-23.447537473233396","-3.1753434092861155","834.8737914476671",,"18.30835117773019","-13.927427961579506"
Asian Warehousing Ltd,ASIAN,"Advertising","12.449304","66.93299723654037","0.26717557251908297","6.48037886152085","35.514018691588774","2.390317700453857","0.4370281647811474","0.20178725857595772","0.3200746709775873","3.2710280373831657","2.9718265421324697","76.74604181116005","0.61","45.79439252336449","1.8808777429467078"
Resourceful Automobile Ltd,RAL,"Retail - Speciality","12.41919882","9.78023998332811","12.438785504407445","4.023839277667772","11.922365988909426","9.066901408450704",,"5.916608432331705",,"5.868761552680223","11.042793973658183","-11.26336378508096","16.73","-14.371534195933455","11.401098901098903"
Shree Karthik Papers Ltd,SHKARTP,"Paper Products","12.40239","3.9494613820868523","11.439842209072664","-1.0978777744205597","3.084611407892456","3.729104157736785","0.4995871046638868","0.8278618327147931","-0.11169541215045183","0.49974151301049813","3.352328585122124","3.948921460643553","39.2","1.9817335860761676","28.75399361022343"
Neil Industries Ltd,NEIL,"Diversified Financials","12.3967288","50.359510468746706","2.0867465723894103","23.920671383361547","79.29936305732484","1.8623980298599347","1.3264452271932814","1.9607843137254892","1.3010177692930966","38.53503184713375","1.2202229842946901","-7.76065402627115",,"-83.7579617834395","3.1389444529927673"
