Name,Ticker,"Sub-Sector","Market Cap","1W Change in On Balance Volume","RSI – 14D","% Price above 1M EMA","Beta","Relative Volume","Volatility","% From Upper Bollinger Band","ADX Rating – Trend Strength","1W Change in AD Line","Stochastic %K","William %R"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","258421.586430241","-3.5824948670710044","39.0304229532525","-2.2322147663952463","1.07143835639494","1.0771359684476314","27.603725487151728","-6.0451402019027","29.9126994108907","112.08760751058904","18.58614232209736","-81.41385767790264"
Asian Paints Ltd,ASIANPAINT,"Paints","249113.3064987","-0.07931492921057937","66.9656873738506","2.8245922816648505","1.11347280039525","1.027641862602407","24.431411350184316","-2.4707085611924002","35.3189824156365","-8.340272310462089","76.0528194147038","-23.9471805852962"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","242734.4307284","0.10179060885845746","53.4027519523987","3.822140470680657","1.1688135269576","0.8372296545503883","27.74696245714718","-0.5874305714271","39.1661374691466","5.5198131424714845","76.47768395657418","-23.52231604342582"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","224543.0534496","-0.41426691447598846","63.0828729281768","5.455400777079311","2.18697478746419","1.0599948894872053","42.0428533980775","-5.8941570985497","50.0928623230699","-78.8255039789758","59.693400635632855","-40.306599364367145"
Eternal Ltd,ETERNAL,"Online Services","223724.172283786","0.543729100084322","41.9490887181804","-1.3858901766245935","0.823558195518707","0.5469144198303111","34.25342539666341","-7.9212038111917","22.1752448603071","3.0211232750905834","36.15756224451877","-63.84243775548123"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","217272.13880196","0.13877907128553088","42.5678682688028","-3.7740252116210793","0.963573455769762","0.8278031179343321","34.52252352585384","-11.1159226909484","30.0166104111975","12.21204653684339","18.08901592486736","-81.91098407513265"
Wipro Ltd,WIPRO,"IT Services & Consulting","206682.456642816","6.070920204415412","42.4255319148936","0.4372053152895905","0.965242587653307","0.8340508940269585","23.89824210159202","-4.9849130969874995","26.3641973176447","2.2542724796542903","61.82040317654247","-38.17959682345754"
Grasim Industries Ltd,GRASIM,"Cement","201515.67663226998","-0.6024974891470061","71.6087516087516","3.135875372023822","1.07314884508708","0.8770360934070159","21.391160575818155","-2.3607106804635","29.7467345768386","-102.96436137418945","87.08526578665706","-12.914734213342935"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","194929.574638932","-0.48374333737183944","42.0849420849421","-1.9451129326711225","1.42949970281735","0.8772880211821835","25.915717521847938","-8.4636349761818","17.1330167354393","-1.6672504683324139","40.010655301012186","-59.989344698987814"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","187891.5140298","-1.103070829101755","32.2361546499478","-3.1973324779798085","0.828835388269429","0.7058729366891063","25.544766972258984","-7.6987575500089","23.4626411808306","0.42239029910702225","13.490959666203059","-86.50904033379693"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","187011.23867321998","-0.0265475505906551","62.2324159021407","0.09427290195826998","1.05395052920567","0.6929513525609514","19.746678747071915","-2.1483967621297997","24.6175802110174","2.5110928163156117","71.9489981785064","-28.051001821493593"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","182987.492194","-0.15946794029380196","69.468546637744","3.8184820133706943","0.738734084676423","1.1957407805059657","22.33200813650554","-1.691039385416","51.6781599542107","44.050325752236816","86.08534322820037","-13.91465677179963"
Varun Beverages Ltd,VBL,"Soft Drinks","173850.0218016","6.573875138273498","44.1591784338896","3.6259139732220946","1.19818482607378","0.5906324460372577","28.81649664112651","-2.6038039285637","38.5421985958354","8.717783328264632","74.77707006369432","-25.222929936305675"
BSE Ltd,BSE,"Stock Exchanges & Ratings","171823.18862322","2.8871355402764096","82.3294509151415","10.550319714705193","0.960131265802344","1.1660003037080873","42.71844226529524","-1.3816472940594","59.7994157590441","7.090840969641336","89.01354494458896","-10.986455055411042"
Interglobe Aviation Ltd,INDIGO,"Airlines","164889.47876708","1.2995486459050807","45.8487845076226","-1.9894994389315745","1.43319721193246","0.6675539804088029","32.15092287682308","-8.258673145936699","19.3978429733584","0.6148884955932098","28.213689482470816","-71.78631051752919"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","164782.390155","8.708522216327703","82.2005001136622","12.19784005799356","0.912116398463819","1.2810124067835362","32.434120373644646","0.7010629868136","56.289446871222","39.07581961571948","91.3694935570872","-8.630506442912795"
Adani Energy Solutions Ltd,ADANIENSOL,"Power Infrastructure","161704.65643961998","2.882676058447974","40.0304414003044","2.522817426923263","2.29288675986658","1.2745455799491898","37.46161406848382","-7.3874568903587","41.7133096707171","2.03555909006289","54.369414101290936","-45.630585898709064"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","161624.68881593","-0.9850305378251524","37.8265280243469","-4.165138690861059","0.540037393453678","1.2696473212499988","26.222279848591665","-10.1694206452434","30.4036980626569","-0.9205537176064439","26.673306772908383","-73.32669322709161"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","158343.3195575","3.267729534224196","62.3943661971831","10.113392902082774","0.866552405507328","0.9823222198996505","44.531858634046515","0.6941654301719999","45.7286020040921","52.009248346251994","94.2328618063112","-5.767138193688792"
ICICI Prudential Asset Management Company Ltd,ICICIAMC,"Asset Management","155068.6680648","-10.454714677366411","32.484076433121","-2.2330917437609843",,"0.5904097022042699","37.32263023389062","-7.9455246729218","29.3217846341029","-1.0870870476176626","32.87910552061494","-67.12089447938506"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","154955.92446694098","0.7471537406801516","33.3471760797342","-2.0275457780024375",,"0.7336755317873412","27.765267054912204","-9.5578793221824","30.1033563472944","1.4925158104385383","27.69116555308085","-72.30883444691915"
