Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
L&T Finance Ltd,LTF,"Consumer Finance","69062.740248435","9029.96","2455","2224.21","806.6300000000006","4771.1","3.22","1134.2700000000004","3636.83","1073.9200000000005","1073.9200000000005"
Yes Bank Ltd,YESBANK,"Private Banks","69048.1649132","32649.329999999998",,,"1082.1899999999998","9478.14","0.34","1449.4899999999998","8028.65","1449.4899999999998","1449.4899999999998"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","68836.39147959","7782.9400000000005",,,"669.1899999999998","2902.7","0.8","878.3999999999999","2024.3","865.8799999999999","865.8799999999999"
General Insurance Corporation of India,GICRE,"Insurance","67790.016","343.47000000000116","179.84","40298.670000000006","1725.659999999999","12723.43","9.84","2500.699999999999","10222.730000000001","2500.699999999999","2500.699999999999"
Adani Total Gas Ltd,ATGL,"Gas Distribution","67154.40366798","4699.81",,,"168.34000000000003","1581.5","1.53","325.21000000000004","1256.29","261.83000000000004","226.92000000000004"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","67135.5724611","1648.7099999999996","3022.06","1973.74","403.21000000000015","3945.08","14.29","729.8800000000001","3215.2","575.4300000000001","534.0000000000001"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","66863.8417321","47006.28",,,"256.4100000000012","10600.53","49.22","498.39000000000124","10102.14","393.4200000000012","369.7600000000012"
Swiggy Ltd,SWIGGY,"Online Services","66806.21177307","26298",,,"-800","6649","-3.34","-432","7081","-744","-800"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","65001.51225","691.87","2453.92","2183.2","636.02","3879.92","53.19","918.31","2961.61","823.3","781.1999999999999"
Indian Overseas Bank,IOB,"Public Banks","64490.31922345501","31264.120000000003",,,"1505.4500000000003","9779.87","0.81","1659.0900000000001","8120.780000000001","1659.0900000000001","1659.0900000000001"
Bank of India Ltd,BANKINDIA,"Public Banks","63359.478691122","72096.86",,,"3048.5200000000004","22852.87","6.78","4079.3600000000006","18773.51","4079.3600000000006","4079.3600000000006"
CPSE ETF,CPSEETF,"Equity","63157.683627809995",,,,,,,,,,
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","62754.3604683","774.0100000000003","608.64","391.82","316.0699999999999","2627.96","20.2","520.6399999999999","2107.32","430.1799999999999","428.9999999999999"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","62418.99210175","1814.69",,,"403.33","1294.36","11.28","806.77","487.59","717.42","620.01"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","61886.49641995","90.08999999999978","53.87","475.26","193.33","756.23","22.67","312.06","444.17","250.38","244.84"
Info Edge (India) Ltd,NAUKRI,"Online Services","61033.06009555","322.76000000000016","1235.34","455.3","271.70000000000005","1007.08","4.2","430.14","576.94","399.64","392.86"
UNO Minda Ltd,UNOMINDA,"Auto Parts","61002.53698584","17433.93",,,"325.8100000000004","5406.39","5.65","672.8100000000004","4733.58","481.0000000000004","436.1400000000004"
Jindal Stainless Ltd,JSL,"Iron & Steel","60720.98227968001","37452.57",,,"843.5600000000006","11466.83","10.24","1538.7800000000007","9928.05","1261.1200000000006","1112.3200000000006"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","60570.99523125","24964.53",,,"2014.459999999999","8693.46","2.66","2329.619999999999","6363.84","2329.619999999999","2329.619999999999"
Coforge Ltd,COFORGE,"IT Services & Consulting","60298.892147119994","13692.6",,,"612.3000000000005","4472.6","18.23","845.0000000000005","3627.6","665.0000000000005","625.0000000000005"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","59776.74159696","1854.999999999999","821.7","1964.4","222.5999999999999","3908.2","5.17","895.5999999999999","3012.6","662.0999999999999","278.2999999999999"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","59439.74045436","372.05000000000024","446.78","1323.13","323.86","1525.41","11.91","472.9200000000001","1052.49","436.6700000000001","435.70000000000005"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","59413.482462215004","17658.18",,,"609.2999999999995","5187.04","6.4","848.2299999999996","4338.81","815.9099999999995","815.9099999999995"
Berger Paints India Ltd,BERGEPAINT,"Paints","59285.41297614","10100.24",,,"334.7699999999996","2937.49","2.87","551.1299999999997","2386.36","450.08999999999963","438.4899999999996"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","59147.17589279","2673.97",,,"703.28","1823.71","19.34","1023.13","800.58","990.04","962.9499999999999"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","58717.316151171995","46615.39",,,"330.63999999999976","12182.97","0.38","200.98999999999978","11981.98","200.98999999999978","200.98999999999978"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","58318.709339","5036.97",,,"394.9299999999998","1785.1","185.85","556.4399999999998","1228.66","537.3699999999998","531.2299999999998"
Tube Investments of India Ltd,TIINDIA,"Cycles","57502.621851209995","20657.84",,,"85.44999999999953","6333.78","4.42","690.6499999999996","5643.13","515.7199999999996","499.92999999999955"
Vishal Mega Mart Ltd,VMM,"FMCG - Foods","57111.440230484","11022.7",,,"167.90999999999997","3138.62","0.36","449.27","2689.35","271.71","225.28999999999996"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","56212.141896","18523.67","187.73","82.19","322.8300000000004","4992.55","1.55","528.8100000000004","4463.74","519.9100000000004","415.1200000000004"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","56120.55230501999","317.7799999999997","274.68","303.28","-67.90000000000008","1607.05","-1.05","-3.6700000000000728","1610.72","-12.240000000000073","-74.06000000000007"
Max Financial Services Ltd,MFSL,"Insurance","56094.95487834","47462.49",,,"-26.350000000000442","10807.16","-0.77","-0.7700000000004366","10807.93","-1.2600000000004365","-36.39000000000044"
HDB Financial Services Ltd,HDBFS,"Consumer Finance","55785.506099959995","14834.099999999999",,,"750.5999999999996","4745.4","9.04","1065.4999999999995","3679.9","1011.1999999999996","1011.1999999999996"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","55117.65406724","28334.1",,,"139.9299999999998","6068.16","4.75","481.6999999999998","5586.46","316.9699999999998","227.6499999999998"
JSW Infrastructure Ltd,JSWINFRA,"Ports","54818.90248637","2837.44",,,"418.2900000000001","1612","2.01","786.36","825.64","628.2","497.82000000000005"
MRF Ltd,MRF,"Tires & Rubber","53915.5303875","26311.67",,,"702.2499999999994","8197.24","1655.8","1457.7699999999995","6739.47","1016.0599999999995","929.7299999999994"
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","53631.1521492","1711.6",,,"444.2700000000001","1188.76","4.59","660.26","528.5","593.01","592.21"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","53607.38439243","42761",,,"1061","18513","12.57","3643","14870","2728","1892"
Knowledge Realty Trust,KRT,"Real Estate","52055.416211799","589.22",,,"107.36000000000001","1215.93","0.24","975.83","240.1","569.26","333.22"
Godrej Properties Ltd,GODREJPROP,"Real Estate","51789.65898754","5607.86",,,"649.8800000000001","3894.57","21.58","956.6500000000001","2937.92","921.0300000000001","869.4000000000001"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","51563.94239255","21277.18",,,"354.34999999999957","6305.65","12.76","547.5199999999995","5758.13","488.25999999999954","456.60999999999956"
Altius Telecom Infrastructure Trust,ALTIUSINVIT,"Telecom Infrastructure","51196.32","14217.9",,,"309.80000000000047","6062.8","1.02","2559.7000000000003","3503.1","1445.6000000000004","373.00000000000045"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","50944.445794440006","6840.709999999999",,,"-221.2800000000002","2692.25","-3.69","-166.80000000000018","2859.05","-194.4500000000002","-194.4500000000002"
Apar Industries Ltd,APARINDS,"Electrical Components & Equipments","50917.356094","426.8799999999992","337.77","1062.03","208.9299999999998","5495.04","52.01","434.7399999999998","5060.3","394.1799999999998","288.0799999999998"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","50830.993015425","688.5800000000004","552.74","1612.74","593.4600000000012","10541.12","5.46","461.5600000000013","10079.56","399.4600000000013","364.24000000000126"
Tata Communications Ltd,TATACOMM,"Telecom Services","50604.6","20197.67",,,"263.2499999999995","6616.99","9.24","1346.7699999999995","5270.22","615.7799999999995","434.0899999999995"
Thermax Limited,THERMAX,"Industrial Machinery","49735.514733209995","9668.3",,,"244.27999999999975","3484.22","21.68","430.4899999999998","3053.73","376.4799999999998","334.12999999999977"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","49371.6753925","4605.989999999999","945.74","341.3","541.3599999999999","2529.95","49.12","745.0699999999999","1784.8799999999999","682.2399999999999","682.2399999999999"
NLC India Ltd,NLCINDIA,"Metals - Diversified","49177.067338185","11901.09",,,"1393.4599999999998","5844.73","6.64","2576.6699999999996","3268.06","1881.8999999999996","1517.5899999999997"
KEI Industries Ltd,KEI,"Cables","48945.5926281","10518.72",,,"284.3199999999998","3519.25","29.74","424.4499999999998","3094.8","395.9699999999998","377.1599999999998"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","47792.41875","-18.279999999999916","548.8","213.31","72.91999999999997","663.8","1.99","123.14999999999998","540.65","103.84999999999998","103.17999999999998"
Radico Khaitan Ltd,RADICO,"Alcoholic Beverages","47758.5800965","5045.5",,,"179.4599999999999","1513.83","13.41","294.6099999999999","1219.22","252.4199999999999","237.0199999999999"
360 One Wam Ltd,360ONE,"Investment Banking & Brokerage","44993.1326628","2745.16",,,"288.74","1169.71","7.12","405.64","764.07","362.62","362.62"
Premier Energies Ltd,PREMIERENE,"Renewable Energy","44881.653615359995","5447.14",,,"456.8299999999998","2273.93","10.14","718.4699999999998","1555.46","639.3499999999998","597.8699999999998"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","44049.1077099","9664.47",,,"433.5699999999999","3587.96","34.13","683.4299999999998","2904.53","562.0399999999998","553.0299999999999"
PI Industries Ltd,PIIND,"Diversified Chemicals","44012.14079748","5014.1",,,"200.2000000000001","1641.2","13.2","410.9000000000001","1230.3","304.2000000000001","300.5000000000001"
Anthem Biosciences Ltd,ANTHEM,"Biotechnology","43957.37763305","1314.91",,,"189.75999999999996","663.14","3.38","319.40999999999997","343.73","279.81999999999994","277.91999999999996"
Authum Investment & Infrastructure Ltd,AIIL,"Specialized Finance","43127.9170175","400.0199999999999","47.68","87.87","161","477.7","1.902","286.02","191.68","278.4","278.4"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","42936.9454749","16944.39",,,"938.0200000000002","5575.59","6.75","1369.17","4206.42","1259.0700000000002","1259.0700000000002"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","42876.0446092","13754.66",,,"116.17999999999996","4930.46","3.51","227.28999999999996","4703.17","206.69999999999996","184.49999999999997"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","42702.606609","475.0699999999997","821.5","979.77","189.53999999999994","1399.19","169.93","295.53","1103.66","268.98999999999995","256.25999999999993"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","42514.03874","12936.94",,,"509.64000000000004","4350.59","26.73","911.46","3439.13","758.6600000000001","681.32"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","42228","1988.4899999999998","315.25","529.2","394.33000000000015","1530.13","4.93","546.1000000000001","984.03","533.8000000000002","529.2000000000002"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","41774.93653588","1278.2899999999997","1983.99","977.48","326.27","2430.34","12.86","571.19","1859.15","463.6","445.98"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","41659.854445","8522.65",,,"299.4599999999999","2928.9","15.49","636.04","2292.86","437.17999999999995","400.93999999999994"
J K Cement Ltd,JKCEMENT,"Cement","41296.01674695","3959.2799999999997","901.74","829.75","174.62999999999985","3509","22.6","555.6199999999999","2953.38","380.8899999999999","268.27999999999986"
Housing and Urban Development Corporation Ltd,HUDCO,"Specialized Finance","41225.1267","10093.16",,,"1981.31","3625.07","9.9","624.79","3000.28","621.01","621.01"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","41202.538","446.9300000000005","433.14","414.82","102","1143","9.29","265","878","176","143"
Embassy Office Parks REIT,EMBASSY,"Real Estate","41181.243664634996","1073.61",,,"-430.04000000000013","1250.33","-4.54","948.3899999999999","301.94","558.81","184.88999999999993"
UTI Nifty 50 ETF,NIFTYBETA,"Equity","40951.792829640006",,,,,,,,,,
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","39839.47178112","4058.03",,,"266.69999999999993","1483.07","21.35","394.8399999999999","1088.23","349.4699999999999","347.1099999999999"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","39756.20805912","2512.47",,,"277.85999999999996","1031.25","16.4","386.88","644.37","373.71","373.09999999999997"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","39697.50232892","38159.54",,,"1370.7399999999996","9642.3","9.14","2061.3999999999996","7580.9","1855.9299999999996","1794.3899999999996"
Cochin Shipyard Ltd,COCHINSHIP,"Shipbuilding","39667.3200084","4210.49",,,"276.4699999999999","1641.33","10.51","466.80999999999995","1174.52","434.81999999999994","402.56999999999994"
Aster DM Healthcare Ltd,ASTERDM,"Hospitals & Diagnostic Centres","39536.514225959996","3811.9",,,"140.17000000000002","1218.91","2.72","260.58000000000004","958.33","193.34000000000003","163.35000000000002"
Astral Ltd,ASTRAL,"Building Products - Pipes","38782.79553699","5529.3",,,"213.00000000000014","2105.8","7.93","394.10000000000014","1711.7","320.10000000000014","296.60000000000014"
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","38637.7126104","473.05000000000064","1092.72","1383.83","126.70000000000014","2174.38","6.24","336.34000000000015","1838.04","214.09000000000015","149.06000000000014"
Container Corporation of India Ltd,CONCOR,"Logistics","38396.968193025","5981.549999999999","489.27","663.89","333.90999999999974","2399.97","4.4","606.5099999999998","1793.46","452.9799999999998","432.56999999999977"
L&T Technology Services Ltd,LTTS,"Software Services","37978.92040958","1986.0999999999997","6457.4","662.8","332.1000000000001","2925.9","31.34","552.4000000000001","2373.5","465.9000000000001","448.9000000000001"
Godrej Industries Ltd,GODREJIND,"Diversified Chemicals","37861.916313429996","20061.15",,,"444.2800000000001","8479.34","13.19","1950.3400000000001","6529","1809.3700000000001","1125.67"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","36975.3970014","486.75","185.48","502.85","294.4200000000001","1202.23","31.54","422.30000000000007","779.93","394.0900000000001","377.86000000000007"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","36612.587915820004","3419.28",,,"191.91999999999996","1290.83","3.09","329.17999999999995","961.65","254.90999999999997","247.40999999999997"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","36605.582062140005","4825.45",,,"366.68000000000006","1854.26","22.26","624.49","1229.77","515.83","505.80000000000007"
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","36142.31518935","2238.97",,,"212.62","969.02","41.49","352.46000000000004","616.56","311.24","282.3"
Godfrey Phillips India Ltd,GODFRYPHLP,"FMCG - Tobacco","35958.4751328","4806.47",,,"521.46","1939.25","33.43","704.73","1234.52","672.12","669.1"
Endurance Technologies Ltd,ENDURANCE,"Auto Parts","35901.37869504","12651.19",,,"276.4499999999997","4115.95","19.65","597.7999999999997","3518.15","385.9399999999997","370.7099999999997"
United Breweries Ltd,UBL,"Alcoholic Beverages","35662.96649712","8434.42",,,"101.78000000000014","2332.26","3.85","221.36000000000013","2110.9","145.35000000000014","116.31000000000014"
Indian Renewable Energy Development Agency Ltd,IREDA,"Specialized Finance","35612.624784436","4419.92","81.66","111.7","585.1600000000001","2139.92","2.09","728.1500000000001","1411.77","717.2","717.2"
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches","35479.789811484996","33293.17",,,"409.5000000000004","10321.1","3.97","781.8500000000004","9539.25","668.8000000000004","538.8200000000004"
Bagmane Prime Office REIT,BAGMANE,"Real Estate","35360","224.88","0","259.33",,,,,,,
