Name,Ticker,"Sub-Sector","Market Cap","Additional Paid–in Capital","Investing Cash Flow","Net Change in Cash","Total Liabilities","Loans & Advances","Financing Cash Flow","Long Term Investments","Total Cash Dividend Paid","Reserves & Surplus","Capital Expenditure","Net Property,Plant & Equipment","Operating Cash Flow"
Bharti Hexacom Ltd,BHARTIHEXA,"Telecom Services","79785","104","-2340.6","-22.699999999999363","13318.899999999996",,"-2264.7","0","200","5578.1","1492.1","8809.899999999998","4582.6"
Persistent Systems Ltd,PERSISTENT,"Software Services","79429.42508004","343.87","-516.83","11.889999999999986","2402.4799999999996",,"-628.2","641.5","460.01","5897.27","236.69","1384.6460000000004","1156.92"
IDBI Bank Ltd,IDBI,"Private Banks","78815.10794275","5323.56","-338.28","18467.100000000002","351533.23","218399.16","-6990.32","118452.8","1625.46","45544.090000000004","349.67","12200.02","25795.7"
FSN E-Commerce Ventures Ltd,NYKAA,"Wellness Services","78259.66970448001","1260.49","-205.43","49.16","2636.8699999999994",,"-212.04","0.16","0","-245.22000000000003","127.22","640.25","466.63"
NMDC Ltd,NMDC,"Mining - Iron Ore","77790.0016824","0","305.7","-24.570000000000164","11299.7",,"-2224.55","974.53","2459.8","28816.59","3230.34","9682.050000000001","1894.28"
SRF Ltd,SRF,"Diversified Chemicals","77459.78651325","510.09","-1482.31","-65.34000000000015","8895.19",,"-1070.52","122.76","213.18","11818.67","1231.45","14436.080000000002","2487.49"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","76220.44991418","3437.56","-3650.18","-61.72000000000003","18242.929999999993",,"-1216.45","22.15","901.69","13673.85","4330.21","25806.869999999995","4804.91"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","75760.08137676","263.57","-895.14","-16.629999999999995","5277.58",,"-693.48","888.37","627.1","9129.17","1484.45","4292.599999999999","1571.99"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","73906.06310888","0","-3970.54","77.90999999999963","5076.72",,"-1757.66","259.29","1836.64","16887.12","1201.3","12632.399999999998","5806.11"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","73864.763345625","3794.4","6874.67","-1115.69","302304.76","0","1422.48","303475.44","86.8","6643.98","257.01","1351.28","-9412.84"
One 97 Communications Ltd,PAYTM,"Online Services","73844.783763","26772.2","-2031.1","-2205.1","6450.600000000003",,"-52.7","2581.3","0","-11809.300000000001","321.9","905.1999999999999","-121.3"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","73578.22110408","7215.19","-779.84","-69.75999999999999","4207.590000000002",,"-713.85","169.1","108.87","946.3700000000008","846.94","6320.250900000002","1423.93"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","73479.87937601999","732.84","-680.33","-39.40000000000006","4733.05",,"39.28","233.26","43.13","3631.87","641","4335.279999999999","601.65"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","72909.3165114","5330.04","-4779.63","3090.0299999999997","140679.36999999997","107092.48","2407.25","37847.52","74.32","10967.48","264.36","912.47","5462.41"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","72102.566228063","12499.09","-748.98","685.99","6853.869999999998",,"343.01","0.03","0","-9125.21","370.61","1315.3199999999997","1091.96"
Federal Bank Ltd,FEDERALBNK,"Private Banks","71464.5918168","10831.53","-3798.58","12403.310000000001","325387.41","244995.36","7400.97","66057.68","294","23215.630000000005","754.65","1527.55","8800.92"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","70403.3293131","1148.61","-81.59","2.3200000000001637","457.22","0","-1115.62","3323.76","1201.52","2429.6099999999997","538.53","871.69","1199.53"
Biocon Ltd,BIOCON,"Biotechnology","70076.08411625","258.1","-202.9","2004.2999999999997","30827.1",,"-1854","679.7","82.9","20785.600000000002","2343.3","23686.000000000004","4061.2"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","69897.94264728001","18838.26","-685.21","22468.08","490480.35000000003","345018.63","4875.5","114456.72","1284.9","45075.5","730.99","2496.36","18277.79"
L&T Finance Ltd,LTF,"Consumer Finance","69062.740248435","8110.4","366.9","1592.7199999999993","114149.70000000003","117821.03","15415.06","10563.81","686.77","17368.739999999998","239.46","1173.7099999999998","-14189.24"
Yes Bank Ltd,YESBANK,"Private Banks","69048.1649132","39981.1","8513.66","9248.81","376280.26","246120.16","-5651.25","84724.68","0","1580.489999999998","741.73","3078.4","6386.4"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","68836.39147959","4744.07","-797.55","-2.2299999999995634","82861.94999999998","99512.86","17870.19","2533.32","0","6874.58","41","141.08999999999997","-17074.87"
General Insurance Corporation of India,GICRE,"Insurance","67790.016","1544.07","-275.07","-53.48000000000002","133267.85","0","-1754.4","143280.23","1754.4","59078.43","25.41","299.18","1975.99"
Adani Total Gas Ltd,ATGL,"Gas Distribution","67154.40366798","0","-933.36","86.85999999999999","3457.6600000000017",,"56.35","782.8","27.5","4097.07","940.92","5497.870000000001","963.87"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","67135.5724611","1686.56","57.99","17.43999999999994","7141.900000000002",,"787.05","56.36","70.44","7134.66","749.57","4228.431","-827.6"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","66863.8417321","452.46","-1092.81","30.370000000000054","13279.599999999999",,"-26.57","535.6","32.91","2545.69","939.35","2973.69","1149.75"
Swiggy Ltd,SWIGGY,"Online Services","66806.21177307","40466.93","-1372.44","361.46000000000004","4985.829999999998",,"3903.37","1354.02","0","-30476.09","750.81","2787.9970000000003","-2169.47"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","65001.51225","0","-1288.25","-186.4000000000001","5257.469999999999",,"-810.99","943.24","504.62","11960.96","675.62","2961.4700000000003","1912.84"
Indian Overseas Bank,IOB,"Public Banks","64490.31922345501","9636.5","-578.92","2404.73","362474.62000000005","245555.17","144.1","110587.97","0","3340.26","603.27","4654.82","2839.55"
Bank of India Ltd,BANKINDIA,"Public Banks","63359.478691122","22029.55","-854.48","17714.210000000003","977415.88","653518.22","34.24","268002.29","1274.75","54142.8","723.05","12046.94","18534.45"
CPSE ETF,CPSEETF,"Equity","63157.683627809995",,,,,,,,,,,,
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","62754.3604683","60","-340.72","499.85999999999996","2164.72",,"-449.45","0","437.65","5956.7","463.83","2388.96","1290.03"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","62418.99210175","2491.3","-2162.12","-125.82999999999996","7574.619999999998",,"-47.27","479.48","89.5","7885.339999999999","2617.29","17017.2208","2083.56"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","61886.49641995","697.25","-1304.86","-833.4399999999998","1322.8000000000009",,"-112.18","57.59","102.02","3037.41","1330.52","2891.506","583.6"
Info Edge (India) Ltd,NAUKRI,"Online Services","61033.06009555","2655.59","-817.77","-68.91999999999994","5954.32",,"-126.99","36512.61","310.21","32118.039999999997","82.25","423.19199999999995","875.84"
UNO Minda Ltd,UNOMINDA,"Auto Parts","61002.53698584","1496.11","-1479.43","-42.73000000000002","5616.85",,"365.23","845.06","143.09","4109.71","1655.71","5024.400000000001","1071.47"
Jindal Stainless Ltd,JSL,"Iron & Steel","60720.98227968001","4119.73","-3433.13","-597.1600000000005","19208.81",,"-1882.39","1641.65","244.86","12403.48","1885.46","15627.480000000001","4718.36"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","60570.99523125","3867.25","-494.94","11883.210000000001","340776","236083.8","4750.31","82215.73","991.39","17149.17","519.41","2915.62","7627.84"
Coforge Ltd,COFORGE,"IT Services & Consulting","60298.892147119994","2417.4","-2438.1","474.29999999999995","3943.3",,"1675.3","0","509.7","3894.9","614.4","2137.399999999999","1237.1"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","59776.74159696","7740.8","-1348.4","-258.5","42332.399999999994",,"959.2","392.5","77.5","7251.499999999999","1582.9","11915.6","130.7"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","59439.74045436","12.8","55.97","-220.88999999999987","1354.0800000000002",,"-1671.32","0","1626.21","1624.47","71.42","814.87","1394.46"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","59413.482462215004","1166.1","-2490.57","55.47999999999956","51764.08","53934.62","4686.51","6235.1","287.11","11664.26","55.76","330.26","-2140.46"
Berger Paints India Ltd,BERGEPAINT,"Paints","59285.41297614","118.85","-649.82","13.68999999999994","2958.13",,"-605.54","198.95","408.03","5918.66","429.44","3466.06","1269.05"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","59147.17589279","2832.36","-2392.27","-29.29000000000005","7010.430000000002",,"200.4","458.44","363.6","12508.9","692.31","6289.19","2162.58"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","58717.316151171995","16531.54","-3173.91","2617.92","306068.06000000006","233112.53","-8673.26","80505.24","0","14302.129999999997","919.48","2875.82","14465.09"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","58318.709339","0","182.18","268.85","1684.160000000001",,"-925.17","0","871.22","4211.9","52.6","347.89","1011.84"
Tube Investments of India Ltd,TIINDIA,"Cycles","57502.621851209995","395.5","-1615.31","120.50000000000011","8187.109999999999",,"522.4","30.86","162.21","5120.88","1212.95","4181.65","1213.41"
Vishal Mega Mart Ltd,VMM,"FMCG - Foods","57111.440230484","113.66","-610.5","309.99999999999994","3591.759999999999",,"-478.57","0","0","1690.2099999999998","263.84","2264.7959999999994","1399.07"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","56212.141896","0","1629.39","2023.4099999999999","10910.689999999999",,"-1484.17","2559.38","439.94","7485.69","431.75","1027.36","1878.19"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","56120.55230501999","0","-282.26","-217.33999999999997","4664.880000000001",,"-75.05","158.07","62.68","723.62","153.34","1167.22","139.97"
Max Financial Services Ltd,MFSL,"Insurance","56094.95487834","4680.45","-9703.31","609.8999999999999","183595.44000000003",,"1961.41","179840.6","0","525.3800000000001","218.08","84.69560000000001","8351.8"
HDB Financial Services Ltd,HDBFS,"Consumer Finance","55785.506099959995","3371.4","1159.02","302.6100000000006","92843.54","103343.04","12769.92","2060.13","238.1","11652.57","209.79","735.09","-13626.33"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","55117.65406724","244.31","-2637.69","-871.9","7694.539999999996",,"-697.82","169.19","352.82","10814.060000000001","850.64","4236.849999999999","2463.61"
JSW Infrastructure Ltd,JSWINFRA,"Ports","54818.90248637","2784.83","-1691.24","-112.13999999999999","6318.28",,"-521.34","22.98","115.5","6497.370000000001","2075.57","10800.55","2100.44"
MRF Ltd,MRF,"Tires & Rubber","53915.5303875","9.42","-2082.23","67.56999999999994","11078.349999999995",,"282","1134.82","84.82","18474.800000000003","1308.17","14389.41","1867.8"
Hindustan Copper Ltd,HINDCOPPER,"Mining - Copper","53631.1521492","479.1","-402.26","-10.319999999999965","1046.8999999999999",,"-152.28","27.07","88.97","1698.3000000000002","419.93","2497.38","544.22"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","53607.38439243","4866","-1823","3535","48186",,"-4793","2008","77","24188","1695","20486","10151"
Knowledge Realty Trust,KRT,"Real Estate","52055.416211799","3590.7","-479.92","-54.620000000000346","22614.83000000001",,"-2297.84","93.33","64.31","-1745.6499999999999","660.19","19915.148000000005","2723.14"
Godrej Properties Ltd,GODREJPROP,"Real Estate","51789.65898754","14355.55","-4272.71","194.4399999999996","37875.99000000001",,"6709.53","2221.6","0","2806.3199999999997","211.53","1377.05","-2242.38"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","51563.94239255","408.37","-374.71","23.639999999999986","3387.52",,"-814.93","126.17","152.63","3744.84","722.5","3865.9399999999996","1213.28"
Altius Telecom Infrastructure Trust,ALTIUSINVIT,"Telecom Infrastructure","51196.32","0","-11056.4","377.5","59652.600000000006",,"4367.7","0","0","-16232.9","684.8","62624.3","7066.2"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","50944.445794440006","497.79","-1077.28","882.4599999999999","22785.680000000008","10438.08","745.14","8850.64","299.85","10519.869999999999","183.66","868.5","1214.6"
Apar Industries Ltd,APARINDS,"Electrical Components & Equipments","50917.356094","1190.25","-705.24","102.4199999999999","6760.010000000001",,"-482.91","11.06","204.61","3273.12","509.69","1670.8100000000002","1290.57"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","50830.993015425","4704.38","-14.1","-428.27","4146.319999999999",,"-611.27","20.62","291.05","6594.089999999999","144.31","4121.3258000000005","197.1"
Tata Communications Ltd,TATACOMM,"Telecom Services","50604.6","725.01","-2173.33","-198.14999999999998","23419.57",,"-935.63","1798.23","477.19","2011.16","2205.59","12933.989999999998","2910.81"
Thermax Limited,THERMAX,"Industrial Machinery","49735.514733209995","64.55","-1220.12","-53.77999999999993","7065.4",,"123.55","130.72","135.23","4849.8099999999995","902.67","3234.13","1042.79"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","49371.6753925","0","931.11","-233.21000000000004","62139.83999999998","64647.22","7820.93","6481.03","330.65","13086.62","57.37","978.48","-8985.25"
NLC India Ltd,NLCINDIA,"Metals - Diversified","49177.067338185","0","-7159.56","-378.50999999999976","35959.09000000001",,"-2196.07","8.08","440.32","17336.33","7340.18","45996.350000000006","8977.12"
KEI Industries Ltd,KEI,"Cables","48945.5926281","2603.17","-1500.66","385.66999999999985","1448.8600000000008",,"1918.54","1.72","41.76","3163.4700000000003","697.66","1378.56","-32.21"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","47792.41875","0","-407.13","-459.99","7804.919999999998",,"-220.25","3.91","216.7","3825.67","282.74","950.5362999999999","167.39"
Radico Khaitan Ltd,RADICO,"Alcoholic Beverages","47758.5800965","401.03","-171.49","-46.079999999999984","1913.8799999999999",,"-237.45","198.27","40.13","2325.92","180.95","1829.2593999999997","362.86"
360 One Wam Ltd,360ONE,"Investment Banking & Brokerage","44993.1326628","4836.33","-1065.15","297.4499999999998","12703.110000000004","8395.15","3773.47","7608.12","216.69","2189.4800000000005","55.24","699.73","-2410.87"
Premier Energies Ltd,PREMIERENE,"Renewable Energy","44881.653615359995","1436.78","-2410.29","545.5799999999999","4018.6000000000004",,"1607.82","9.7","22.39","1340.2500000000002","620.2","1220.3239999999998","1348.05"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","44049.1077099","47.49","-798.09","-234.39","1507.3800000000008",,"-440.02","719.62","406.49","5587.54","890.44","3027.1","1003.72"
PI Industries Ltd,PIIND,"Diversified Chemicals","44012.14079748","2199.9","-1420.7","-294.20000000000005","2092.4",,"-286.5","271.6","227.6","7941.9","850","4205","1413"
Anthem Biosciences Ltd,ANTHEM,"Biotechnology","43957.37763305","125.19","-152.11","132.62999999999997","397.7100000000002",,"-133.6","16.93","0","2172.86","314.67","1001.98","418.34"
Authum Investment & Infrastructure Ltd,AIIL,"Specialized Finance","43127.9170175","661.89","-290.3","-91.29999999999998","1398.0599999999981","2104.16","-126.72","12738.77","0","14010.470000000001","72.65","420.54999999999995","325.72"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","42936.9454749","7195.4","-1076.74","926.7100000000028","122532.27999999998","123513.56","17605.33","10589.79","777.78","14087.08","441.89","1273.11","-15601.88"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","42876.0446092","4.77","157.94","-165.88","6567.350000000001",,"-99.71","2844.55","181.99","6475.4","208.18","983.52","-224.11"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","42702.606609","41.2","11.66","205.10000000000002","1235.83",,"-1010.15","0","914.62","1354.84","79.57","829.8000000000001","1203.59"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","42514.03874","370.4","31.94","181.43000000000006","5115.950000000002",,"-1755.71","423.78","1040.1","9067.91","61.84","1471.7080000000005","1905.2"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","42228","0","-252.4","-328.8299999999999","3136.0899999999997",,"-909.8","0","880","3503.36","47.63","839.8111000000001","833.37"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","41774.93653588","96.52","-869.5","168.83999999999992","3355.36",,"-282.98","216.32","101.48","6826.5599999999995","775.52","4723.08","1321.32"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","41659.854445","0","-1479.51","5.620000000000118","5247.060000000002",,"-279.01","1561.57","309.51","10348.94","1483","7926.990000000001","1764.14"
J K Cement Ltd,JKCEMENT,"Cement","41296.01674695","756.8","-1890.33","122.89000000000017","10626.32",,"73.83","144.19","154.43","5254.91","1719.8","10676","1939.39"
Housing and Urban Development Corporation Ltd,HUDCO,"Specialized Finance","41225.1267","1.26","-938.52","-325.8099999999977","110527.59999999999","124312.67","32215.38","1317.88","1151.09","15964.89","21.74","103.93000000000002","-31602.67"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","41202.538","741.17","-1120.54","23.6400000000001","3304.15",,"598.94","10.5","32.96","6450.44","882.15","5847.639999999999","545.24"
Embassy Office Parks REIT,EMBASSY,"Real Estate","41181.243664634996","0","-1635.33","-348.3499999999997","26174.559999999994",,"-1792.34","2952.91","2137.44","-6065.05","1750.97","37360.255","3079.32"
UTI Nifty 50 ETF,NIFTYBETA,"Equity","40951.792829640006",,,,,,,,,,,,
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","39839.47178112","3.66","-376.52","47.30000000000007","1114.14",,"-733.41","25.24","349.37","3761.56","317.92","1903.59","1157.23"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","39756.20805912","0","-45.8","474.6800000000002","2156.7699999999995",,"-769.42","0","749.38","1781.9","23.02","290.9314","1289.9"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","39697.50232892","0","-3188.54","-942.25","7446.89",,"-2151.63","669.98","1500","18377.53","1456.89","10477.75","4397.92"
