Name,Ticker,"Sub-Sector","Market Cap","PB Premium vs Sector","PB Ratio","Dividend Yield vs Sector","PS Ratio","PS Premium vs Sector","EV/EBITDA Ratio","PE Ratio","Forward PS Ratio","Forward PE Ratio","Dividend Yield","PE Premium vs Sector","EV / EBIT Ratio","PS Premium vs Sub-sector","EV / Revenue Ratio","PE Premium vs Sub-sector","EV / Invested Capital","Price / Free Cash Flow"
Kandarp Digi Smart Bpo Ltd,KANDARP,"Outsourced services","125.622","9.832656838265395","6.396232179226069",,"5.150553505535055","82.77727457999404","34.456300268096506","78.02608695652172",,,,"261.03230963263667","42.84066666666666","106.43373415251438","5.269454694546945","283.10643880822727","5.391023489932886",
Accretion Pharmaceuticals Ltd,ACCPL,"Pharmaceuticals","125.6108","29.43109670220933","8.215225637671681",,"1.398472500556669","-76.8147976845722","9.224623513870549","13.00318840579712",,,,"-70.19127974924598","10.025900933237626","-73.84906758283253","1.5548964595858383","-64.19137615319003","4.751983667914256","30.340772946859904"
Addictive Learning Technology Ltd,ADDICTIVE,"Education Services","125.5586106","-71.65389223896263","1.5873402098609355",,"1.4623644374563243","-34.27750800239366","4.59844983520599","11.745426623012149",,,,"-52.10171122552152","6.261020428352878","-85.50008078576971","1.4299861472163988","-87.72932713393222","1.552194824273072",
MRC Agrotech Ltd,MRCAGRO,"Commodities Trading","125.528919849","-39.830934726107834","4.095560190831974",,"3.8016026604784976","2.450112564344177","102.21050394227579","142.64649982840788",,,,"251.0588692243948","103.04829495819608","10.889569721569798","3.8073567489097515","248.72046157530966","3.9797062313706872",
Swastika Investmart Ltd,SWASTIKA,"Diversified Financials","125.41464","-51.21147028468863","1.1177775401069519","-0.23549728072895226","1.1383737859671417","-41.19096990714992",,"9.632460829493086",,,"0.8293936018952811","-38.969006538044354",,"-45.7649211235704",,"-57.17302300901289",,
International Combustion (India) Ltd,INTLCOMBQ,"Industrial Machinery","125.40583034000001","-86.2262746195572","0.9375435880681819","0.1749058271824504","0.4218867294869639","-88.6304943505321","4.944253802888083","8.388349855518383",,,"0.7624130372629372","-79.35592798646123","6.414792990163928","-93.15823732977739","0.46074291115222876","-86.04987181756704","0.8233982464979259","18.801473814092954"
Spectrum Talent Management Ltd,SPECTSTM,"Employment Services","125.39551128","-88.45508612785618","0.785833874036473",,"0.09847376787943991","-97.34621171518911","10.853139605928224","17.295932590344112",,,,"-57.43400262430868","13.590121318776845",,"0.09775913999638758",,"0.6393380477633404",
Moxsh Overseas Educon Ltd,MOXSH,"Academic & Educational Services","124.74336","91.69884545545143","13.048468619246858",,"12.677170731707317","241.6394832534525","144.74534831460664","-244.59482352941203",,,,"-701.9578627563031","805.1459999999971",,"13.091804878048782",,"8.6111871657754",
Vistar Amar Ltd,VISTARAMAR,"Agro Products","124.416","-66.11609452544297","2.775284407762659",,"4.5893028402803395","6.069026700616534",,"-84.63673469387741",,,,"-374.38137305976585",,"299.80272250485115","4.297897454813722","-453.35376755588675","2.5990631273700644",
Pervasive Commodities Ltd,PERVASIVE,"Electrical Components & Equipments","124.3314036","-68.82954281001828","2.1216963071672357",,"4.106056922060766","10.65490831905667","1245.9140359999824","1381.4600399999783",,,,"3299.8296495495065","1245.9140359999824","7.234298819122916","4.1146434478203435","2597.6022842728817","2.1156631618271353",
Airo Lam Ltd,AIROLAM,"Building Products - Laminates","124.306572","-74.77939534485292","1.7167044883303413",,"0.5734756043550471","-84.54529695334207","13.137054161490674","46.03947111111099",,,,"13.305021065347312","18.423917421602773",,"0.9757638494187119",,"1.3000588358227303",
Patdiam Jewellery Ltd,PJL,"Precious Metals, Jewellery & Watches","124.28643","-69.02792332401503","1.7343905944739046",,"0.7708163607045398","-65.35749174388603","7.398299946149715","10.43546851385393",,,,"-57.44376935664107","7.788346371882098","-73.44359701767287","0.8520617092532871","-81.27405603395387","1.597888229820888",
Innomet Advanced Materials Ltd,INNOMET,"Metals - Diversified","124.2291648","-11.499239900221365","3.006514152952566",,"3.7748150957155877","75.08524230565217","25.613817058823503","66.78987354838692",,,,"180.0403046880887","38.7053235555555","130.97256914325905","4.233946058948647","611.9459981136432","2.4639993775419984",
Indian Sucrose Ltd,INDSUCR,"Sugar","124.10439854200001","-94.11956731949812","0.481640852803974",,"0.2214054529498867","-94.8828260592258","2.16544895609036","3.2344122632785957",,,,"-89.51445278401171","2.4600773606138735","-70.18986002071986","0.34031077469894555","-85.30656763011237","0.40607642052581155","2.0850873410954303"
Taylormade Renewables Ltd,TRL,"Renewable Energy Equipment & Services","123.6673368","-80.77629041433613","1.308510599936515",,"1.737144778761062","-53.18535522535833","6.579023441494594","10.046087473598705",,,,"-75.27616791962416","7.129320021310605","-56.334620948070395","1.8797209832841695","-61.89982521779186","1.2746936254524674",
Ace men engg works Ltd,ACEMEN,"Diversified Financials","123.359304","1298.5356210046043","32.04137766233766",,"1541.9913","79560.13789360967",,"-12335.930400000005",,,,"-78260.09853726657",,"73364.46379316234","1541.7413","-54946.89912110666","32.036182857142855",
K I C Metaliks Ltd,KAJARIR,"Iron & Steel","123.242112","-79.1577835822097","0.7080438469493279",,"0.1715173991705403","-92.04459963416657","17.78062496328936","-20.203624918032585",,,,"-184.7108847084552",,"-89.05622075903781","0.33703358476911516","-184.67328604465547","0.8124672459489382","8.55848"
